winner,awayID,homeID,away_wins,away_losses,away_ot,away_pts,away_ptPctg,away_goalsPerGame,away_goalsAgainstPerGame,away_evGGARatio,away_powerPlayPercentage,away_powerPlayGoals,away_powerPlayGoalsAgainst,away_powerPlayOpportunities,away_penaltyKillPercentage,away_shotsPerGame,away_shotsAllowed,away_winScoreFirst,away_winOppScoreFirst,away_winLeadFirstPer,away_winLeadSecondPer,away_winOutshootOpp,away_winOutshotByOpp,away_faceOffsTaken,away_faceOffsWon,away_faceOffsLost,away_faceOffWinPercentage,away_shootingPctg,away_savePctg,home_wins,home_losses,home_ot,home_pts,home_ptPctg,home_goalsPerGame,home_goalsAgainstPerGame,home_evGGARatio,home_powerPlayPercentage,home_powerPlayGoals,home_powerPlayGoalsAgainst,home_powerPlayOpportunities,home_penaltyKillPercentage,home_shotsPerGame,home_shotsAllowed,home_winScoreFirst,home_winOppScoreFirst,home_winLeadFirstPer,home_winLeadSecondPer,home_winOutshootOpp,home_winOutshotByOpp,home_faceOffsTaken,home_faceOffsWon,home_faceOffsLost,home_faceOffWinPercentage,home_shootingPctg,home_savePctg
1,16,27,26,43,13,65,39.6,2.549,3.402,0.8424,12.2,51.0,88.0,417.0,83.9,30.2439,29.4756,0.533,0.192,0.619,0.81,0.282,0.366,4879.0,2384.0,2495.0,48.9,8.4,0.885,38,39,5,81,49.4,2.951,3.268,0.8786,17.7,96.0,98.0,541.0,80.9,28.2683,30.2439,0.622,0.333,0.708,0.8,0.474,0.463,5027.0,2473.0,2554.0,49.2,10.4,0.892
1,22,23,41,28,13,95,57.9,3.037,2.951,0.8986,18.1,88.0,76.0,485.0,84.1,29.7805,25.5488,0.775,0.238,0.696,0.84,0.5,0.5,4918.0,2626.0,2292.0,53.4,10.2,0.884,42,32,8,92,56.1,3.073,3.061,0.9481,18.2,96.0,93.0,526.0,81.8,28.7561,30.0732,0.667,0.391,0.909,0.818,0.6,0.469,4936.0,2376.0,2560.0,48.1,10.7,0.898
1,20,29,46,25,11,103,62.8,2.634,2.354,1.1613,18.2,87.0,80.0,478.0,84.2,28.0366,27.5732,0.64,0.438,0.629,0.868,0.628,0.457,4952.0,2496.0,2456.0,50.4,9.4,0.915,35,43,4,74,45.1,2.622,3.366,0.8188,14.2,64.0,95.0,451.0,81.8,27.439,33.6829,0.559,0.333,0.6,0.882,0.529,0.391,5033.0,2487.0,2546.0,49.4,9.6,0.9
1,6,1,29,37,16,74,45.1,2.78,3.146,0.9412,14.8,62.0,78.0,418.0,83.7,30.622,32.1098,0.525,0.19,0.556,0.697,0.419,0.32,5125.0,2667.0,2458.0,52.0,9.1,0.902,46,27,9,101,61.6,2.841,2.744,0.986,17.8,78.0,63.0,439.0,81.9,29.2073,29.3049,0.696,0.389,0.844,0.886,0.543,0.512,4691.0,2322.0,2369.0,49.5,9.7,0.906
1,2,5,36,40,6,78,47.6,2.695,3.354,0.9097,16.9,76.0,99.0,450.0,79.2,30.2561,31.0854,0.649,0.267,0.64,0.852,0.471,0.422,4987.0,2427.0,2560.0,48.7,8.9,0.892,22,46,14,58,35.4,2.963,3.78,0.8258,19.0,94.0,113.0,495.0,78.8,28.0122,33.2073,0.594,0.06,0.722,0.81,0.32,0.25,4951.0,2274.0,2677.0,45.9,10.6,0.886
1,3,13,44,26,12,100,61.0,3.049,2.573,1.2793,18.9,83.0,79.0,440.0,83.7,29.8537,28.7561,0.702,0.314,0.829,0.853,0.512,0.553,4587.0,2178.0,2409.0,47.5,10.2,0.911,37,34,11,85,51.8,2.878,3.073,1.1045,15.3,63.0,91.0,411.0,82.3,33.2195,34.7927,0.579,0.341,0.765,0.824,0.514,0.413,5351.0,2713.0,2638.0,50.7,8.7,0.912
0,9,7,52,21,9,113,68.9,3.805,2.5,1.4911,20.8,102.0,73.0,490.0,84.7,34.2805,28.5854,0.87,0.333,0.865,0.956,0.673,0.591,5019.0,2523.0,2496.0,50.3,11.1,0.913,52,24,6,110,67.1,3.366,2.854,1.0137,21.2,101.0,59.0,477.0,86.6,30.6098,30.5122,0.8,0.432,0.875,0.892,0.689,0.576,5058.0,2512.0,2546.0,49.7,11.0,0.906
1,16,25,26,43,13,65,39.6,2.549,3.402,0.8424,12.2,51.0,88.0,417.0,83.9,30.2439,29.4756,0.533,0.192,0.619,0.81,0.282,0.366,4879.0,2384.0,2495.0,48.9,8.4,0.885,53,23,6,112,68.3,3.085,2.646,1.2066,17.7,88.0,82.0,498.0,83.7,28.4878,25.5976,0.721,0.564,0.857,0.816,0.653,0.613,4830.0,2428.0,2402.0,50.3,10.8,0.897
1,18,24,49,25,8,106,64.6,3.085,2.732,1.1709,18.4,94.0,82.0,512.0,84.6,29.0244,32.4634,0.565,0.639,0.706,0.857,0.697,0.532,5176.0,2787.0,2389.0,53.8,10.6,0.916,43,27,12,98,59.8,3.061,2.707,1.2035,18.1,87.0,84.0,480.0,83.5,31.5244,29.6463,0.684,0.386,0.688,0.838,0.551,0.448,4995.0,2535.0,2460.0,50.8,9.7,0.909
1,7,6,52,24,6,110,67.1,3.366,2.854,1.0137,21.2,101.0,59.0,477.0,86.6,30.6098,30.5122,0.8,0.432,0.875,0.892,0.689,0.576,5058.0,2512.0,2546.0,49.7,11.0,0.906,29,37,16,74,45.1,2.78,3.146,0.9412,14.8,62.0,78.0,418.0,83.7,30.622,32.1098,0.525,0.19,0.556,0.697,0.419,0.32,5125.0,2667.0,2458.0,52.0,9.1,0.902
1,10,8,41,33,8,90,54.9,3.098,3.207,0.8356,21.4,107.0,99.0,501.0,80.0,28.3293,30.5976,0.614,0.368,0.655,0.867,0.444,0.51,5027.0,2595.0,2432.0,51.6,10.9,0.895,42,31,9,93,56.7,2.939,2.976,1.0075,19.2,89.0,91.0,463.0,81.1,30.122,30.5732,0.738,0.275,0.731,0.774,0.553,0.465,4950.0,2442.0,2508.0,49.3,9.8,0.903
1,11,2,41,33,8,90,54.9,3.366,3.293,1.0,18.9,100.0,102.0,528.0,79.2,30.7561,30.2805,0.719,0.36,0.741,0.88,0.512,0.5,5172.0,2590.0,2582.0,50.1,10.9,0.891,36,40,6,78,47.6,2.695,3.354,0.9097,16.9,76.0,99.0,450.0,79.2,30.2561,31.0854,0.649,0.267,0.64,0.852,0.471,0.422,4987.0,2427.0,2560.0,48.7,8.9,0.892
1,9,4,52,21,9,113,68.9,3.805,2.5,1.4911,20.8,102.0,73.0,490.0,84.7,34.2805,28.5854,0.87,0.333,0.865,0.956,0.673,0.591,5019.0,2523.0,2496.0,50.3,11.1,0.913,45,26,11,101,61.6,3.207,3.085,1.0435,18.0,80.0,97.0,444.0,79.1,31.122,28.9268,0.689,0.378,0.767,0.769,0.58,0.517,4819.0,2384.0,2435.0,49.5,10.3,0.893
0,15,12,29,41,12,70,42.7,2.805,3.659,0.9247,14.7,72.0,116.0,490.0,78.9,29.8171,35.122,0.432,0.289,0.381,0.818,0.417,0.339,5176.0,2609.0,2567.0,50.4,9.4,0.896,52,22,8,112,68.3,3.488,3.146,1.02,17.9,95.0,81.0,531.0,81.8,31.1341,30.4512,0.878,0.39,0.875,0.939,0.674,0.605,5141.0,2659.0,2482.0,51.7,11.2,0.897
1,3,14,44,26,12,100,61.0,3.049,2.573,1.2793,18.9,83.0,79.0,440.0,83.7,29.8537,28.7561,0.702,0.314,0.829,0.853,0.512,0.553,4587.0,2178.0,2409.0,47.5,10.2,0.911,43,33,6,92,56.1,3.0,3.122,0.8782,16.7,81.0,72.0,485.0,81.5,31.6341,27.561,0.682,0.342,0.833,0.839,0.569,0.462,4969.0,2488.0,2481.0,50.1,9.5,0.887
0,29,17,35,43,4,74,45.1,2.622,3.366,0.8188,14.2,64.0,95.0,451.0,81.8,27.439,33.6829,0.559,0.333,0.6,0.882,0.529,0.391,5033.0,2487.0,2546.0,49.4,9.6,0.9,58,16,8,124,75.6,3.671,2.512,1.4831,22.1,102.0,67.0,461.0,85.5,34.0976,26.5854,0.745,0.657,0.794,0.95,0.71,0.75,4895.0,2587.0,2308.0,52.9,10.8,0.906
0,21,19,43,30,9,95,57.9,3.415,3.061,1.0855,18.8,89.0,69.0,473.0,84.6,30.0488,29.4512,0.633,0.364,0.636,0.909,0.605,0.442,4984.0,2397.0,2587.0,48.1,11.4,0.896,21,46,15,57,34.8,2.354,3.463,0.6095,14.7,75.0,82.0,512.0,82.2,28.4756,30.6098,0.4,0.119,0.524,0.5,0.237,0.273,5010.0,2538.0,2472.0,50.7,8.3,0.887
0,28,30,44,27,11,99,60.4,3.232,2.866,1.1333,18.2,91.0,77.0,500.0,80.7,30.2805,26.5854,0.75,0.333,0.833,0.906,0.593,0.444,4851.0,2346.0,2505.0,48.4,10.7,0.892,38,36,8,84,51.2,2.756,2.585,0.9098,17.0,77.0,55.0,453.0,87.4,26.7561,30.0,0.643,0.275,0.783,0.828,0.452,0.468,4890.0,2363.0,2527.0,48.3,10.3,0.914
0,24,27,43,27,12,98,59.8,3.061,2.707,1.2035,18.1,87.0,84.0,480.0,83.5,31.5244,29.6463,0.684,0.386,0.688,0.838,0.551,0.448,4995.0,2535.0,2460.0,50.8,9.7,0.909,38,39,5,81,49.4,2.951,3.268,0.8786,17.7,96.0,98.0,541.0,80.9,28.2683,30.2439,0.622,0.333,0.708,0.8,0.474,0.463,5027.0,2473.0,2554.0,49.2,10.4,0.892
0,22,23,41,28,13,95,57.9,3.037,2.951,0.8986,18.1,88.0,76.0,485.0,84.1,29.7805,25.5488,0.775,0.238,0.696,0.84,0.5,0.5,4918.0,2626.0,2292.0,53.4,10.2,0.884,42,32,8,92,56.1,3.073,3.061,0.9481,18.2,96.0,93.0,526.0,81.8,28.7561,30.0732,0.667,0.391,0.909,0.818,0.6,0.469,4936.0,2376.0,2560.0,48.1,10.7,0.898
1,18,26,49,25,8,106,64.6,3.085,2.732,1.1709,18.4,94.0,82.0,512.0,84.6,29.0244,32.4634,0.565,0.639,0.706,0.857,0.697,0.532,5176.0,2787.0,2389.0,53.8,10.6,0.916,42,35,5,89,54.3,2.963,3.28,0.9583,14.2,77.0,104.0,541.0,78.7,29.1951,29.9878,0.625,0.405,0.786,0.893,0.568,0.467,5003.0,2495.0,2508.0,49.9,10.2,0.891
1,20,25,46,25,11,103,62.8,2.634,2.354,1.1613,18.2,87.0,80.0,478.0,84.2,28.0366,27.5732,0.64,0.438,0.629,0.868,0.628,0.457,4952.0,2496.0,2456.0,50.4,9.4,0.915,53,23,6,112,68.3,3.085,2.646,1.2066,17.7,88.0,82.0,498.0,83.7,28.4878,25.5976,0.721,0.564,0.857,0.816,0.653,0.613,4830.0,2428.0,2402.0,50.3,10.8,0.897
0,28,16,44,27,11,99,60.4,3.232,2.866,1.1333,18.2,91.0,77.0,500.0,80.7,30.2805,26.5854,0.75,0.333,0.833,0.906,0.593,0.444,4851.0,2346.0,2505.0,48.4,10.7,0.892,26,43,13,65,39.6,2.549,3.402,0.8424,12.2,51.0,88.0,417.0,83.9,30.2439,29.4756,0.533,0.192,0.619,0.81,0.282,0.366,4879.0,2384.0,2495.0,48.9,8.4,0.885
0,10,1,41,33,8,90,54.9,3.098,3.207,0.8356,21.4,107.0,99.0,501.0,80.0,28.3293,30.5976,0.614,0.368,0.655,0.867,0.444,0.51,5027.0,2595.0,2432.0,51.6,10.9,0.895,46,27,9,101,61.6,2.841,2.744,0.986,17.8,78.0,63.0,439.0,81.9,29.2073,29.3049,0.696,0.389,0.844,0.886,0.543,0.512,4691.0,2322.0,2369.0,49.5,9.7,0.906
0,8,5,42,31,9,93,56.7,2.939,2.976,1.0075,19.2,89.0,91.0,463.0,81.1,30.122,30.5732,0.738,0.275,0.731,0.774,0.553,0.465,4950.0,2442.0,2508.0,49.3,9.8,0.903,22,46,14,58,35.4,2.963,3.78,0.8258,19.0,94.0,113.0,495.0,78.8,28.0122,33.2073,0.594,0.06,0.722,0.81,0.32,0.25,4951.0,2274.0,2677.0,45.9,10.6,0.886
0,22,21,41,28,13,95,57.9,3.037,2.951,0.8986,18.1,88.0,76.0,485.0,84.1,29.7805,25.5488,0.775,0.238,0.696,0.84,0.5,0.5,4918.0,2626.0,2292.0,53.4,10.2,0.884,43,30,9,95,57.9,3.415,3.061,1.0855,18.8,89.0,69.0,473.0,84.6,30.0488,29.4512,0.633,0.364,0.636,0.909,0.605,0.442,4984.0,2397.0,2587.0,48.1,11.4,0.896
0,13,6,37,34,11,85,51.8,2.878,3.073,1.1045,15.3,63.0,91.0,411.0,82.3,33.2195,34.7927,0.579,0.341,0.765,0.824,0.514,0.413,5351.0,2713.0,2638.0,50.7,8.7,0.912,29,37,16,74,45.1,2.78,3.146,0.9412,14.8,62.0,78.0,418.0,83.7,30.622,32.1098,0.525,0.19,0.556,0.697,0.419,0.32,5125.0,2667.0,2458.0,52.0,9.1,0.902
1,7,3,52,24,6,110,67.1,3.366,2.854,1.0137,21.2,101.0,59.0,477.0,86.6,30.6098,30.5122,0.8,0.432,0.875,0.892,0.689,0.576,5058.0,2512.0,2546.0,49.7,11.0,0.906,44,26,12,100,61.0,3.049,2.573,1.2793,18.9,83.0,79.0,440.0,83.7,29.8537,28.7561,0.702,0.314,0.829,0.853,0.512,0.553,4587.0,2178.0,2409.0,47.5,10.2,0.911
1,14,12,43,33,6,92,56.1,3.0,3.122,0.8782,16.7,81.0,72.0,485.0,81.5,31.6341,27.561,0.682,0.342,0.833,0.839,0.569,0.462,4969.0,2488.0,2481.0,50.1,9.5,0.887,52,22,8,112,68.3,3.488,3.146,1.02,17.9,95.0,81.0,531.0,81.8,31.1341,30.4512,0.878,0.39,0.875,0.939,0.674,0.605,5141.0,2659.0,2482.0,51.7,11.2,0.897
0,17,19,58,16,8,124,75.6,3.671,2.512,1.4831,22.1,102.0,67.0,461.0,85.5,34.0976,26.5854,0.745,0.657,0.794,0.95,0.71,0.75,4895.0,2587.0,2308.0,52.9,10.8,0.906,21,46,15,57,34.8,2.354,3.463,0.6095,14.7,75.0,82.0,512.0,82.2,28.4756,30.6098,0.4,0.119,0.524,0.5,0.237,0.273,5010.0,2538.0,2472.0,50.7,8.3,0.887
1,26,23,42,35,5,89,54.3,2.963,3.28,0.9583,14.2,77.0,104.0,541.0,78.7,29.1951,29.9878,0.625,0.405,0.786,0.893,0.568,0.467,5003.0,2495.0,2508.0,49.9,10.2,0.891,42,32,8,92,56.1,3.073,3.061,0.9481,18.2,96.0,93.0,526.0,81.8,28.7561,30.0732,0.667,0.391,0.909,0.818,0.6,0.469,4936.0,2376.0,2560.0,48.1,10.7,0.898
0,10,4,41,33,8,90,54.9,3.098,3.207,0.8356,21.4,107.0,99.0,501.0,80.0,28.3293,30.5976,0.614,0.368,0.655,0.867,0.444,0.51,5027.0,2595.0,2432.0,51.6,10.9,0.895,45,26,11,101,61.6,3.207,3.085,1.0435,18.0,80.0,97.0,444.0,79.1,31.122,28.9268,0.689,0.378,0.767,0.769,0.58,0.517,4819.0,2384.0,2435.0,49.5,10.3,0.893
1,28,29,44,27,11,99,60.4,3.232,2.866,1.1333,18.2,91.0,77.0,500.0,80.7,30.2805,26.5854,0.75,0.333,0.833,0.906,0.593,0.444,4851.0,2346.0,2505.0,48.4,10.7,0.892,35,43,4,74,45.1,2.622,3.366,0.8188,14.2,64.0,95.0,451.0,81.8,27.439,33.6829,0.559,0.333,0.6,0.882,0.529,0.391,5033.0,2487.0,2546.0,49.4,9.6,0.9
1,2,8,36,40,6,78,47.6,2.695,3.354,0.9097,16.9,76.0,99.0,450.0,79.2,30.2561,31.0854,0.649,0.267,0.64,0.852,0.471,0.422,4987.0,2427.0,2560.0,48.7,8.9,0.892,42,31,9,93,56.7,2.939,2.976,1.0075,19.2,89.0,91.0,463.0,81.1,30.122,30.5732,0.738,0.275,0.731,0.774,0.553,0.465,4950.0,2442.0,2508.0,49.3,9.8,0.903
0,1,9,46,27,9,101,61.6,2.841,2.744,0.986,17.8,78.0,63.0,439.0,81.9,29.2073,29.3049,0.696,0.389,0.844,0.886,0.543,0.512,4691.0,2322.0,2369.0,49.5,9.7,0.906,52,21,9,113,68.9,3.805,2.5,1.4911,20.8,102.0,73.0,490.0,84.7,34.2805,28.5854,0.87,0.333,0.865,0.956,0.673,0.591,5019.0,2523.0,2496.0,50.3,11.1,0.913
1,24,21,43,27,12,98,59.8,3.061,2.707,1.2035,18.1,87.0,84.0,480.0,83.5,31.5244,29.6463,0.684,0.386,0.688,0.838,0.551,0.448,4995.0,2535.0,2460.0,50.8,9.7,0.909,43,30,9,95,57.9,3.415,3.061,1.0855,18.8,89.0,69.0,473.0,84.6,30.0488,29.4512,0.633,0.364,0.636,0.909,0.605,0.442,4984.0,2397.0,2587.0,48.1,11.4,0.896
0,30,22,38,36,8,84,51.2,2.756,2.585,0.9098,17.0,77.0,55.0,453.0,87.4,26.7561,30.0,0.643,0.275,0.783,0.828,0.452,0.468,4890.0,2363.0,2527.0,48.3,10.3,0.914,41,28,13,95,57.9,3.037,2.951,0.8986,18.1,88.0,76.0,485.0,84.1,29.7805,25.5488,0.775,0.238,0.696,0.84,0.5,0.5,4918.0,2626.0,2292.0,53.4,10.2,0.884
1,18,27,49,25,8,106,64.6,3.085,2.732,1.1709,18.4,94.0,82.0,512.0,84.6,29.0244,32.4634,0.565,0.639,0.706,0.857,0.697,0.532,5176.0,2787.0,2389.0,53.8,10.6,0.916,38,39,5,81,49.4,2.951,3.268,0.8786,17.7,96.0,98.0,541.0,80.9,28.2683,30.2439,0.622,0.333,0.708,0.8,0.474,0.463,5027.0,2473.0,2554.0,49.2,10.4,0.892
1,6,7,29,37,16,74,45.1,2.78,3.146,0.9412,14.8,62.0,78.0,418.0,83.7,30.622,32.1098,0.525,0.19,0.556,0.697,0.419,0.32,5125.0,2667.0,2458.0,52.0,9.1,0.902,52,24,6,110,67.1,3.366,2.854,1.0137,21.2,101.0,59.0,477.0,86.6,30.6098,30.5122,0.8,0.432,0.875,0.892,0.689,0.576,5058.0,2512.0,2546.0,49.7,11.0,0.906
0,3,2,44,26,12,100,61.0,3.049,2.573,1.2793,18.9,83.0,79.0,440.0,83.7,29.8537,28.7561,0.702,0.314,0.829,0.853,0.512,0.553,4587.0,2178.0,2409.0,47.5,10.2,0.911,36,40,6,78,47.6,2.695,3.354,0.9097,16.9,76.0,99.0,450.0,79.2,30.2561,31.0854,0.649,0.267,0.64,0.852,0.471,0.422,4987.0,2427.0,2560.0,48.7,8.9,0.892
0,15,12,29,41,12,70,42.7,2.805,3.659,0.9247,14.7,72.0,116.0,490.0,78.9,29.8171,35.122,0.432,0.289,0.381,0.818,0.417,0.339,5176.0,2609.0,2567.0,50.4,9.4,0.896,52,22,8,112,68.3,3.488,3.146,1.02,17.9,95.0,81.0,531.0,81.8,31.1341,30.4512,0.878,0.39,0.875,0.939,0.674,0.605,5141.0,2659.0,2482.0,51.7,11.2,0.897
0,13,5,37,34,11,85,51.8,2.878,3.073,1.1045,15.3,63.0,91.0,411.0,82.3,33.2195,34.7927,0.579,0.341,0.765,0.824,0.514,0.413,5351.0,2713.0,2638.0,50.7,8.7,0.912,22,46,14,58,35.4,2.963,3.78,0.8258,19.0,94.0,113.0,495.0,78.8,28.0122,33.2073,0.594,0.06,0.722,0.81,0.32,0.25,4951.0,2274.0,2677.0,45.9,10.6,0.886
1,26,20,42,35,5,89,54.3,2.963,3.28,0.9583,14.2,77.0,104.0,541.0,78.7,29.1951,29.9878,0.625,0.405,0.786,0.893,0.568,0.467,5003.0,2495.0,2508.0,49.9,10.2,0.891,46,25,11,103,62.8,2.634,2.354,1.1613,18.2,87.0,80.0,478.0,84.2,28.0366,27.5732,0.64,0.438,0.629,0.868,0.628,0.457,4952.0,2496.0,2456.0,50.4,9.4,0.915
1,19,16,21,46,15,57,34.8,2.354,3.463,0.6095,14.7,75.0,82.0,512.0,82.2,28.4756,30.6098,0.4,0.119,0.524,0.5,0.237,0.273,5010.0,2538.0,2472.0,50.7,8.3,0.887,26,43,13,65,39.6,2.549,3.402,0.8424,12.2,51.0,88.0,417.0,83.9,30.2439,29.4756,0.533,0.192,0.619,0.81,0.282,0.366,4879.0,2384.0,2495.0,48.9,8.4,0.885
1,24,25,43,27,12,98,59.8,3.061,2.707,1.2035,18.1,87.0,84.0,480.0,83.5,31.5244,29.6463,0.684,0.386,0.688,0.838,0.551,0.448,4995.0,2535.0,2460.0,50.8,9.7,0.909,53,23,6,112,68.3,3.085,2.646,1.2066,17.7,88.0,82.0,498.0,83.7,28.4878,25.5976,0.721,0.564,0.857,0.816,0.653,0.613,4830.0,2428.0,2402.0,50.3,10.8,0.897
1,30,23,38,36,8,84,51.2,2.756,2.585,0.9098,17.0,77.0,55.0,453.0,87.4,26.7561,30.0,0.643,0.275,0.783,0.828,0.452,0.468,4890.0,2363.0,2527.0,48.3,10.3,0.914,42,32,8,92,56.1,3.073,3.061,0.9481,18.2,96.0,93.0,526.0,81.8,28.7561,30.0732,0.667,0.391,0.909,0.818,0.6,0.469,4936.0,2376.0,2560.0,48.1,10.7,0.898
1,15,8,29,41,12,70,42.7,2.805,3.659,0.9247,14.7,72.0,116.0,490.0,78.9,29.8171,35.122,0.432,0.289,0.381,0.818,0.417,0.339,5176.0,2609.0,2567.0,50.4,9.4,0.896,42,31,9,93,56.7,2.939,2.976,1.0075,19.2,89.0,91.0,463.0,81.1,30.122,30.5732,0.738,0.275,0.731,0.774,0.553,0.465,4950.0,2442.0,2508.0,49.3,9.8,0.903
1,3,9,44,26,12,100,61.0,3.049,2.573,1.2793,18.9,83.0,79.0,440.0,83.7,29.8537,28.7561,0.702,0.314,0.829,0.853,0.512,0.553,4587.0,2178.0,2409.0,47.5,10.2,0.911,52,21,9,113,68.9,3.805,2.5,1.4911,20.8,102.0,73.0,490.0,84.7,34.2805,28.5854,0.87,0.333,0.865,0.956,0.673,0.591,5019.0,2523.0,2496.0,50.3,11.1,0.913
1,7,1,52,24,6,110,67.1,3.366,2.854,1.0137,21.2,101.0,59.0,477.0,86.6,30.6098,30.5122,0.8,0.432,0.875,0.892,0.689,0.576,5058.0,2512.0,2546.0,49.7,11.0,0.906,46,27,9,101,61.6,2.841,2.744,0.986,17.8,78.0,63.0,439.0,81.9,29.2073,29.3049,0.696,0.389,0.844,0.886,0.543,0.512,4691.0,2322.0,2369.0,49.5,9.7,0.906
1,11,14,41,33,8,90,54.9,3.366,3.293,1.0,18.9,100.0,102.0,528.0,79.2,30.7561,30.2805,0.719,0.36,0.741,0.88,0.512,0.5,5172.0,2590.0,2582.0,50.1,10.9,0.891,43,33,6,92,56.1,3.0,3.122,0.8782,16.7,81.0,72.0,485.0,81.5,31.6341,27.561,0.682,0.342,0.833,0.839,0.569,0.462,4969.0,2488.0,2481.0,50.1,9.5,0.887
0,17,18,58,16,8,124,75.6,3.671,2.512,1.4831,22.1,102.0,67.0,461.0,85.5,34.0976,26.5854,0.745,0.657,0.794,0.95,0.71,0.75,4895.0,2587.0,2308.0,52.9,10.8,0.906,49,25,8,106,64.6,3.085,2.732,1.1709,18.4,94.0,82.0,512.0,84.6,29.0244,32.4634,0.565,0.639,0.706,0.857,0.697,0.532,5176.0,2787.0,2389.0,53.8,10.6,0.916
1,26,22,42,35,5,89,54.3,2.963,3.28,0.9583,14.2,77.0,104.0,541.0,78.7,29.1951,29.9878,0.625,0.405,0.786,0.893,0.568,0.467,5003.0,2495.0,2508.0,49.9,10.2,0.891,41,28,13,95,57.9,3.037,2.951,0.8986,18.1,88.0,76.0,485.0,84.1,29.7805,25.5488,0.775,0.238,0.696,0.84,0.5,0.5,4918.0,2626.0,2292.0,53.4,10.2,0.884
0,27,28,38,39,5,81,49.4,2.951,3.268,0.8786,17.7,96.0,98.0,541.0,80.9,28.2683,30.2439,0.622,0.333,0.708,0.8,0.474,0.463,5027.0,2473.0,2554.0,49.2,10.4,0.892,44,27,11,99,60.4,3.232,2.866,1.1333,18.2,91.0,77.0,500.0,80.7,30.2805,26.5854,0.75,0.333,0.833,0.906,0.593,0.444,4851.0,2346.0,2505.0,48.4,10.7,0.892
0,5,2,22,46,14,58,35.4,2.963,3.78,0.8258,19.0,94.0,113.0,495.0,78.8,28.0122,33.2073,0.594,0.06,0.722,0.81,0.32,0.25,4951.0,2274.0,2677.0,45.9,10.6,0.886,36,40,6,78,47.6,2.695,3.354,0.9097,16.9,76.0,99.0,450.0,79.2,30.2561,31.0854,0.649,0.267,0.64,0.852,0.471,0.422,4987.0,2427.0,2560.0,48.7,8.9,0.892
1,13,12,37,34,11,85,51.8,2.878,3.073,1.1045,15.3,63.0,91.0,411.0,82.3,33.2195,34.7927,0.579,0.341,0.765,0.824,0.514,0.413,5351.0,2713.0,2638.0,50.7,8.7,0.912,52,22,8,112,68.3,3.488,3.146,1.02,17.9,95.0,81.0,531.0,81.8,31.1341,30.4512,0.878,0.39,0.875,0.939,0.674,0.605,5141.0,2659.0,2482.0,51.7,11.2,0.897
0,16,17,26,43,13,65,39.6,2.549,3.402,0.8424,12.2,51.0,88.0,417.0,83.9,30.2439,29.4756,0.533,0.192,0.619,0.81,0.282,0.366,4879.0,2384.0,2495.0,48.9,8.4,0.885,58,16,8,124,75.6,3.671,2.512,1.4831,22.1,102.0,67.0,461.0,85.5,34.0976,26.5854,0.745,0.657,0.794,0.95,0.71,0.75,4895.0,2587.0,2308.0,52.9,10.8,0.906
0,29,19,35,43,4,74,45.1,2.622,3.366,0.8188,14.2,64.0,95.0,451.0,81.8,27.439,33.6829,0.559,0.333,0.6,0.882,0.529,0.391,5033.0,2487.0,2546.0,49.4,9.6,0.9,21,46,15,57,34.8,2.354,3.463,0.6095,14.7,75.0,82.0,512.0,82.2,28.4756,30.6098,0.4,0.119,0.524,0.5,0.237,0.273,5010.0,2538.0,2472.0,50.7,8.3,0.887
1,21,20,43,30,9,95,57.9,3.415,3.061,1.0855,18.8,89.0,69.0,473.0,84.6,30.0488,29.4512,0.633,0.364,0.636,0.909,0.605,0.442,4984.0,2397.0,2587.0,48.1,11.4,0.896,46,25,11,103,62.8,2.634,2.354,1.1613,18.2,87.0,80.0,478.0,84.2,28.0366,27.5732,0.64,0.438,0.629,0.868,0.628,0.457,4952.0,2496.0,2456.0,50.4,9.4,0.915
0,30,23,38,36,8,84,51.2,2.756,2.585,0.9098,17.0,77.0,55.0,453.0,87.4,26.7561,30.0,0.643,0.275,0.783,0.828,0.452,0.468,4890.0,2363.0,2527.0,48.3,10.3,0.914,42,32,8,92,56.1,3.073,3.061,0.9481,18.2,96.0,93.0,526.0,81.8,28.7561,30.0732,0.667,0.391,0.909,0.818,0.6,0.469,4936.0,2376.0,2560.0,48.1,10.7,0.898
1,25,24,53,23,6,112,68.3,3.085,2.646,1.2066,17.7,88.0,82.0,498.0,83.7,28.4878,25.5976,0.721,0.564,0.857,0.816,0.653,0.613,4830.0,2428.0,2402.0,50.3,10.8,0.897,43,27,12,98,59.8,3.061,2.707,1.2035,18.1,87.0,84.0,480.0,83.5,31.5244,29.6463,0.684,0.386,0.688,0.838,0.551,0.448,4995.0,2535.0,2460.0,50.8,9.7,0.909
0,1,4,46,27,9,101,61.6,2.841,2.744,0.986,17.8,78.0,63.0,439.0,81.9,29.2073,29.3049,0.696,0.389,0.844,0.886,0.543,0.512,4691.0,2322.0,2369.0,49.5,9.7,0.906,45,26,11,101,61.6,3.207,3.085,1.0435,18.0,80.0,97.0,444.0,79.1,31.122,28.9268,0.689,0.378,0.767,0.769,0.58,0.517,4819.0,2384.0,2435.0,49.5,10.3,0.893
